date,open,high,low,close,volume
2025-09-11 09:15:00+05:30,90.0,104.0,90.0,102.9,3156600
2025-09-11 09:16:00+05:30,102.9,103.0,96.65,97.7,2430375
2025-09-11 09:17:00+05:30,97.7,99.4,96.05,96.9,1287900
2025-09-11 09:18:00+05:30,96.9,97.45,87.0,89.4,2444700
2025-09-11 09:19:00+05:30,89.4,89.95,84.65,85.2,1995450
2025-09-11 09:20:00+05:30,85.2,87.4,83.15,85.0,1951425
2025-09-11 09:21:00+05:30,85.0,87.1,83.65,84.2,1412325
2025-09-11 09:22:00+05:30,84.2,85.95,83.5,85.15,1008675
2025-09-11 09:23:00+05:30,85.15,86.2,83.8,83.9,880500
2025-09-11 09:24:00+05:30,83.75,84.9,81.6,83.35,1227450
2025-09-11 09:25:00+05:30,83.35,84.7,81.8,82.4,955650
2025-09-11 09:26:00+05:30,82.15,84.45,80.4,84.2,1332000
2025-09-11 09:27:00+05:30,84.2,85.8,82.55,83.65,1420050
2025-09-11 09:28:00+05:30,84.0,86.75,83.35,86.05,1073925
2025-09-11 09:29:00+05:30,86.2,89.85,85.35,89.3,2388675
2025-09-11 09:30:00+05:30,89.3,94.95,88.0,90.25,3637650
2025-09-11 09:31:00+05:30,90.25,92.95,90.05,90.05,1257450
2025-09-11 09:32:00+05:30,90.05,91.5,85.2,91.4,1786650
2025-09-11 09:33:00+05:30,91.4,91.5,87.65,89.85,1001250
2025-09-11 09:34:00+05:30,89.85,90.95,89.15,89.5,741825
2025-09-11 09:35:00+05:30,89.5,91.65,88.15,91.5,848325
2025-09-11 09:36:00+05:30,91.5,93.0,90.25,91.9,986925
2025-09-11 09:37:00+05:30,91.9,92.1,88.6,88.6,871950
2025-09-11 09:38:00+05:30,88.6,88.95,85.35,86.1,1179075
2025-09-11 09:39:00+05:30,86.1,88.9,85.8,87.25,770475
2025-09-11 09:40:00+05:30,87.3,95.1,87.3,94.25,2139900
2025-09-11 09:41:00+05:30,94.45,95.6,92.5,92.55,1821525
2025-09-11 09:42:00+05:30,92.55,93.95,89.0,89.55,1202925
2025-09-11 09:43:00+05:30,89.55,90.7,88.25,90.2,783600
2025-09-11 09:44:00+05:30,90.2,92.7,89.05,91.65,803100
2025-09-11 09:45:00+05:30,91.65,92.4,90.0,92.2,784575
2025-09-11 09:46:00+05:30,92.2,96.6,91.85,95.15,1931400
2025-09-11 09:47:00+05:30,95.1,95.55,90.05,90.6,1411050
2025-09-11 09:48:00+05:30,90.6,91.3,89.05,91.3,676800
2025-09-11 09:49:00+05:30,91.3,91.6,87.5,88.2,931950
2025-09-11 09:50:00+05:30,87.9,89.85,87.6,89.4,683100
2025-09-11 09:51:00+05:30,89.4,91.3,88.8,90.35,575250
2025-09-11 09:52:00+05:30,90.25,91.2,86.45,87.65,975150
2025-09-11 09:53:00+05:30,87.7,87.95,85.55,86.9,846225
2025-09-11 09:54:00+05:30,87.0,88.55,85.0,88.45,829200
2025-09-11 09:55:00+05:30,88.45,90.0,87.9,89.95,817200
2025-09-11 09:56:00+05:30,89.95,91.65,88.4,88.4,1183875
2025-09-11 09:57:00+05:30,88.4,91.25,88.2,90.35,673125
2025-09-11 09:58:00+05:30,90.55,91.5,89.0,90.45,575625
