date,open,high,low,close,volume
2025-09-10 09:15:00+05:30,112.0,116.7,102.3,109.45,5202825
2025-09-10 09:16:00+05:30,109.9,116.3,109.9,114.1,3451275
2025-09-10 09:17:00+05:30,114.7,116.9,111.5,112.7,2571600
2025-09-10 09:18:00+05:30,112.7,116.55,111.4,111.65,2238750
2025-09-10 09:19:00+05:30,111.65,113.75,109.35,109.7,1858500
2025-09-10 09:20:00+05:30,109.7,112.0,109.45,110.85,1466925
2025-09-10 09:21:00+05:30,110.85,111.2,108.05,109.0,1125225
2025-09-10 09:22:00+05:30,109.0,117.45,108.4,117.45,2512500
2025-09-10 09:23:00+05:30,117.05,122.45,117.05,118.95,3865275
2025-09-10 09:24:00+05:30,118.95,119.1,111.5,112.35,1862400
2025-09-10 09:25:00+05:30,112.35,113.5,110.45,111.7,1283775
2025-09-10 09:26:00+05:30,111.7,118.35,110.6,117.4,1988400
2025-09-10 09:27:00+05:30,117.4,119.55,117.0,119.3,1794225
2025-09-10 09:28:00+05:30,119.3,124.0,118.45,121.05,2829750
2025-09-10 09:29:00+05:30,121.05,124.25,120.8,123.0,1830825
2025-09-10 09:30:00+05:30,123.0,124.45,119.6,120.95,2126175
2025-09-10 09:31:00+05:30,120.95,123.0,119.5,121.4,1155525
2025-09-10 09:32:00+05:30,121.4,126.4,121.4,123.4,2090400
2025-09-10 09:33:00+05:30,123.4,126.0,122.55,124.3,1425225
2025-09-10 09:34:00+05:30,124.35,128.0,122.3,126.9,1534725
2025-09-10 09:35:00+05:30,127.2,129.8,123.7,124.95,2522625
2025-09-10 09:36:00+05:30,124.95,127.15,123.6,126.7,1088250
2025-09-10 09:37:00+05:30,126.45,129.65,125.65,128.15,1544025
2025-09-10 09:38:00+05:30,128.15,135.0,128.15,133.4,3383775
2025-09-10 09:39:00+05:30,133.4,134.95,131.5,133.0,1879500
2025-09-10 09:40:00+05:30,133.0,134.7,129.45,134.05,1663425
2025-09-10 09:41:00+05:30,134.05,136.5,131.0,136.35,1931400
2025-09-10 09:42:00+05:30,136.2,139.2,135.55,135.85,2741700
2025-09-10 09:43:00+05:30,135.85,142.9,135.55,140.85,2283600
2025-09-10 09:44:00+05:30,141.05,144.8,140.6,144.4,2233875
2025-09-10 09:45:00+05:30,144.45,146.6,140.1,146.0,2126775
2025-09-10 09:46:00+05:30,146.0,147.5,141.25,141.6,2083425
2025-09-10 09:47:00+05:30,141.6,143.4,137.25,138.8,2123550
2025-09-10 09:48:00+05:30,138.8,141.5,135.7,141.3,1278000
2025-09-10 09:49:00+05:30,141.3,143.65,140.05,142.4,1308525
2025-09-10 09:50:00+05:30,142.4,144.8,139.95,142.7,1100475
2025-09-10 09:51:00+05:30,142.7,142.8,139.0,139.0,678375
2025-09-10 09:52:00+05:30,139.0,140.45,135.5,135.5,1005825
2025-09-10 09:53:00+05:30,135.8,139.2,135.1,137.45,987675
2025-09-10 09:54:00+05:30,137.45,139.5,135.25,138.3,615450
2025-09-10 09:55:00+05:30,138.3,141.5,137.05,140.9,910875
2025-09-10 09:56:00+05:30,140.9,145.65,140.9,144.15,1675350
2025-09-10 09:57:00+05:30,144.15,145.0,139.3,140.65,1073850
2025-09-10 09:58:00+05:30,140.65,144.9,139.5,140.5,665550
