date,open,high,low,close,volume
2025-08-28 09:21:00+05:30,202.15,202.15,202.15,202.15,0
2025-08-28 09:22:00+05:30,202.15,202.15,201.4,201.4,75
2025-08-28 09:23:00+05:30,201.4,203.7,201.4,203.7,75
2025-08-28 09:24:00+05:30,203.7,211.65,203.7,211.65,75
2025-08-28 09:25:00+05:30,211.65,219.6,211.65,219.6,300
2025-08-28 09:26:00+05:30,219.6,219.6,212.4,212.4,75
2025-08-28 09:27:00+05:30,212.4,212.4,212.4,212.4,0
2025-08-28 09:28:00+05:30,212.4,212.4,212.4,212.4,0
2025-08-28 09:29:00+05:30,212.4,212.4,212.4,212.4,0
2025-08-28 09:30:00+05:30,212.4,212.4,212.4,212.4,0
2025-08-28 09:31:00+05:30,212.4,212.4,212.4,212.4,0
2025-08-28 09:32:00+05:30,212.4,212.4,212.4,212.4,0
2025-08-28 09:33:00+05:30,212.4,212.4,212.4,212.4,0
2025-08-28 09:34:00+05:30,212.4,212.4,212.4,212.4,0
2025-08-28 09:35:00+05:30,212.4,212.4,212.4,212.4,0
2025-08-28 09:36:00+05:30,212.4,217.3,212.4,217.3,150
2025-08-28 09:37:00+05:30,217.3,217.3,217.3,217.3,0
2025-08-28 09:38:00+05:30,217.3,217.3,217.3,217.3,0
2025-08-28 09:39:00+05:30,217.3,217.3,217.3,217.3,0
2025-08-28 09:40:00+05:30,217.3,217.3,217.3,217.3,0
2025-08-28 09:41:00+05:30,217.3,217.3,208.6,208.6,750
2025-08-28 09:42:00+05:30,208.6,208.6,196.75,196.75,750
2025-08-28 09:43:00+05:30,196.75,196.75,196.75,196.75,0
2025-08-28 09:44:00+05:30,196.75,196.75,196.75,196.75,0
2025-08-28 09:45:00+05:30,196.75,196.75,196.75,196.75,0
2025-08-28 09:46:00+05:30,196.75,196.75,196.75,196.75,0
2025-08-28 09:47:00+05:30,196.75,196.75,196.75,196.75,0
2025-08-28 09:48:00+05:30,196.75,196.75,196.75,196.75,0
2025-08-28 09:49:00+05:30,196.75,198.0,196.75,198.0,150
2025-08-28 09:50:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 09:51:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 09:52:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 09:53:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 09:54:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 09:55:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 09:56:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 09:57:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 09:58:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 09:59:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 10:00:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 10:01:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 10:02:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 10:03:00+05:30,198.0,198.0,198.0,198.0,0
2025-08-28 10:04:00+05:30,184.95,184.95,180.35,180.35,150
2025-08-28 10:05:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:06:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:07:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:08:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:09:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:10:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:11:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:12:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:13:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:14:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:15:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:16:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:17:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:18:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:19:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:20:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:21:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:22:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:23:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:24:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:25:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:26:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:27:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:28:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:29:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:30:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:31:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:32:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:33:00+05:30,180.35,180.35,180.35,180.35,0
2025-08-28 10:34:00+05:30,180.35,180.35,176.4,176.4,150
2025-08-28 10:35:00+05:30,176.4,176.4,176.4,176.4,0
2025-08-28 10:36:00+05:30,176.4,176.4,174.3,174.3,150
2025-08-28 10:37:00+05:30,174.3,174.3,174.3,174.3,0
2025-08-28 10:38:00+05:30,174.3,174.3,173.7,173.7,150
2025-08-28 10:39:00+05:30,173.7,175.0,173.7,175.0,300
2025-08-28 10:40:00+05:30,175.0,178.55,175.0,175.0,75
2025-08-28 10:41:00+05:30,175.0,175.0,175.0,175.0,0
2025-08-28 10:42:00+05:30,175.0,175.0,175.0,175.0,0
