date,open,high,low,close,volume
2025-09-15 09:15:00+05:30,88.0,90.0,59.7,71.85,4049925
2025-09-15 09:16:00+05:30,71.85,78.95,70.05,77.45,3367125
2025-09-15 09:17:00+05:30,77.45,79.2,71.0,71.0,2615700
2025-09-15 09:18:00+05:30,71.0,73.2,69.25,69.45,2440800
2025-09-15 09:19:00+05:30,69.45,70.3,66.5,67.9,3102675
2025-09-15 09:20:00+05:30,67.9,68.45,64.75,67.65,3457125
2025-09-15 09:21:00+05:30,67.05,69.8,65.8,69.1,3169575
2025-09-15 09:22:00+05:30,69.1,69.1,63.8,66.45,2546700
2025-09-15 09:23:00+05:30,66.45,68.95,65.7,68.15,2163600
2025-09-15 09:24:00+05:30,68.15,70.8,67.85,68.5,2731950
2025-09-15 09:25:00+05:30,68.45,73.75,68.05,72.15,3333825
2025-09-15 09:26:00+05:30,73.05,74.55,71.2,73.95,2966100
2025-09-15 09:27:00+05:30,73.95,78.95,73.0,78.0,3493275
2025-09-15 09:28:00+05:30,78.0,78.9,75.05,76.75,2465775
2025-09-15 09:29:00+05:30,76.75,77.3,72.0,72.6,2116575
2025-09-15 09:30:00+05:30,72.6,72.65,70.0,71.2,2626275
2025-09-15 09:31:00+05:30,71.2,71.2,66.8,68.65,2757225
2025-09-15 09:32:00+05:30,68.45,69.0,66.45,66.5,1697025
2025-09-15 09:33:00+05:30,66.45,66.75,59.6,61.35,5369925
2025-09-15 09:34:00+05:30,60.9,62.1,58.5,61.95,3652500
2025-09-15 09:35:00+05:30,61.75,64.0,61.65,63.35,2724000
2025-09-15 09:36:00+05:30,63.35,63.65,60.75,62.85,1895175
2025-09-15 09:37:00+05:30,62.65,62.8,60.0,62.2,1814400
2025-09-15 09:38:00+05:30,62.1,62.4,58.1,59.95,2989350
2025-09-15 09:39:00+05:30,59.95,61.3,58.75,60.8,1752000
2025-09-15 09:40:00+05:30,60.8,62.85,60.25,62.6,1709475
2025-09-15 09:41:00+05:30,62.8,63.45,61.55,62.45,2255925
2025-09-15 09:42:00+05:30,62.45,62.45,60.0,60.4,1792050
2025-09-15 09:43:00+05:30,60.4,61.3,59.75,60.5,1255800
2025-09-15 09:44:00+05:30,60.65,61.65,59.85,61.45,926400
2025-09-15 09:45:00+05:30,61.45,62.75,60.9,62.1,1392300
2025-09-15 09:46:00+05:30,61.95,64.8,61.15,64.55,3030375
2025-09-15 09:47:00+05:30,64.55,66.05,64.5,64.9,3949575
2025-09-15 09:48:00+05:30,64.9,65.45,61.5,61.5,2242500
2025-09-15 09:49:00+05:30,61.5,66.0,60.9,65.85,2051400
2025-09-15 09:50:00+05:30,65.85,69.5,65.45,68.2,4597500
2025-09-15 09:51:00+05:30,68.2,69.9,67.1,68.2,2836125
2025-09-15 09:52:00+05:30,68.3,69.3,67.85,68.65,1672125
2025-09-15 09:53:00+05:30,68.65,69.1,64.25,64.45,2447025
2025-09-15 09:54:00+05:30,64.45,67.85,63.75,67.7,1731975
2025-09-15 09:55:00+05:30,67.65,68.0,65.75,66.05,1070025
2025-09-15 09:56:00+05:30,66.05,69.0,64.25,67.2,1883475
2025-09-15 09:57:00+05:30,67.05,69.15,67.05,68.8,1379775
2025-09-15 09:58:00+05:30,68.8,68.9,65.75,66.35,1520625
2025-09-15 09:59:00+05:30,66.45,66.45,62.7,63.1,1944225
2025-09-15 10:00:00+05:30,63.15,64.15,58.0,58.4,3843000
2025-09-15 10:01:00+05:30,58.95,61.95,58.3,61.4,2640075
2025-09-15 10:02:00+05:30,61.4,63.3,61.15,62.05,1961550
2025-09-15 10:03:00+05:30,61.9,62.5,60.3,61.8,1003875
2025-09-15 10:04:00+05:30,61.65,62.05,60.5,60.6,734625
2025-09-15 10:05:00+05:30,60.7,61.3,59.55,60.2,1495800
2025-09-15 10:06:00+05:30,60.2,60.2,55.2,56.8,3272325
2025-09-15 10:07:00+05:30,56.8,56.8,55.0,56.25,2098725
2025-09-15 10:08:00+05:30,56.25,57.65,55.75,57.25,1716450
2025-09-15 10:09:00+05:30,57.25,57.25,55.45,56.0,1566975
2025-09-15 10:10:00+05:30,56.0,56.4,55.0,55.75,1655700
2025-09-15 10:11:00+05:30,55.75,57.75,55.35,57.25,1782600
2025-09-15 10:12:00+05:30,57.25,57.95,56.6,57.45,1535550
2025-09-15 10:13:00+05:30,57.45,58.9,56.7,58.6,1548750
2025-09-15 10:14:00+05:30,58.6,59.25,57.8,58.3,1863150
2025-09-15 10:15:00+05:30,58.3,59.4,57.7,58.15,1583400
2025-09-15 10:16:00+05:30,58.15,59.0,55.9,57.0,1839150
2025-09-15 10:17:00+05:30,57.0,58.45,56.65,57.9,917025
2025-09-15 10:18:00+05:30,57.9,58.05,56.5,57.2,699375
2025-09-15 10:19:00+05:30,57.2,57.95,56.6,57.9,692250
2025-09-15 10:20:00+05:30,57.9,58.5,57.2,58.05,1139100
2025-09-15 10:21:00+05:30,58.05,58.85,56.55,56.55,1272375
2025-09-15 10:22:00+05:30,56.55,57.5,55.4,57.45,1311600
2025-09-15 10:23:00+05:30,57.45,58.45,56.65,58.3,843075
2025-09-15 10:24:00+05:30,58.3,59.9,58.05,58.7,1255500
2025-09-15 10:25:00+05:30,58.9,59.6,58.65,59.25,1061850
2025-09-15 10:26:00+05:30,59.45,60.6,59.05,59.05,1895025
