date,open,high,low,close,volume
2024-11-14 09:15:00+05:30,23542.15,23645.3,23541.35,23599.75,0
2024-11-14 09:16:00+05:30,23599.55,23599.55,23581.45,23588.8,0
2024-11-14 09:17:00+05:30,23587.45,23593.85,23569.55,23589.2,0
2024-11-14 09:18:00+05:30,23589.4,23594.4,23573.6,23579.05,0
2024-11-14 09:19:00+05:30,23582.2,23612.0,23582.2,23606.05,0
2024-11-14 09:20:00+05:30,23604.9,23607.35,23578.3,23578.5,0
2024-11-14 09:21:00+05:30,23580.1,23583.25,23558.4,23567.05,0
2024-11-14 09:22:00+05:30,23565.7,23602.2,23559.55,23599.8,0
2024-11-14 09:23:00+05:30,23601.7,23606.5,23591.1,23599.9,0
2024-11-14 09:24:00+05:30,23599.55,23624.1,23599.55,23615.1,0
2024-11-14 09:25:00+05:30,23614.5,23623.3,23607.1,23620.65,0
2024-11-14 09:26:00+05:30,23619.75,23619.75,23596.65,23604.25,0
2024-11-14 09:27:00+05:30,23603.9,23608.8,23595.85,23600.95,0
2024-11-14 09:28:00+05:30,23601.05,23601.05,23578.75,23583.75,0
2024-11-14 09:29:00+05:30,23584.05,23587.65,23572.65,23581.6,0
2024-11-14 09:30:00+05:30,23581.2,23592.8,23576.05,23577.4,0
2024-11-14 09:31:00+05:30,23578.35,23600.65,23578.3,23584.95,0
2024-11-14 09:32:00+05:30,23584.5,23593.55,23576.95,23586.7,0
2024-11-14 09:33:00+05:30,23584.95,23595.4,23575.35,23586.7,0
2024-11-14 09:34:00+05:30,23586.15,23603.05,23584.85,23586.55,0
2024-11-14 09:35:00+05:30,23587.55,23590.65,23577.4,23582.4,0
2024-11-14 09:36:00+05:30,23582.6,23600.6,23578.95,23589.15,0
2024-11-14 09:37:00+05:30,23590.05,23591.4,23581.3,23585.1,0
2024-11-14 09:38:00+05:30,23585.0,23596.1,23576.05,23585.2,0
2024-11-14 09:39:00+05:30,23588.0,23591.85,23582.7,23587.05,0
2024-11-14 09:40:00+05:30,23587.85,23588.4,23573.95,23582.3,0
2024-11-14 09:41:00+05:30,23581.85,23593.5,23512.95,23512.95,0
2024-11-14 09:42:00+05:30,23509.95,23557.45,23500.65,23556.0,0
2024-11-14 09:43:00+05:30,23557.85,23572.3,23550.55,23572.3,0
2024-11-14 09:44:00+05:30,23570.95,23584.05,23564.5,23575.05,0
2024-11-14 09:45:00+05:30,23575.05,23577.1,23563.55,23574.45,0
2024-11-14 09:46:00+05:30,23573.9,23595.3,23558.8,23589.05,0
2024-11-14 09:47:00+05:30,23588.95,23597.9,23586.35,23588.7,0
2024-11-14 09:48:00+05:30,23588.5,23591.95,23574.5,23575.1,0
2024-11-14 09:49:00+05:30,23575.5,23585.45,23570.55,23573.85,0
2024-11-14 09:50:00+05:30,23572.35,23578.35,23565.35,23578.05,0
2024-11-14 09:51:00+05:30,23578.15,23578.65,23565.05,23570.75,0
2024-11-14 09:52:00+05:30,23570.2,23579.25,23563.55,23566.4,0
2024-11-14 09:53:00+05:30,23566.0,23572.75,23560.65,23572.1,0
2024-11-14 09:54:00+05:30,23571.45,23585.25,23571.45,23572.55,0
2024-11-14 09:55:00+05:30,23572.65,23597.85,23572.65,23595.05,0
2024-11-14 09:56:00+05:30,23595.5,23606.3,23593.4,23603.55,0
2024-11-14 09:57:00+05:30,23602.8,23608.85,23595.25,23596.9,0
2024-11-14 09:58:00+05:30,23597.3,23606.2,23594.35,23602.15,0
2024-11-14 09:59:00+05:30,23602.1,23603.4,23595.0,23596.65,0
2024-11-14 10:00:00+05:30,23597.2,23642.55,23594.9,23641.1,0
2024-11-14 10:01:00+05:30,23642.6,23659.65,23633.3,23655.65,0
2024-11-14 10:02:00+05:30,23651.05,23657.0,23641.95,23655.95,0
2024-11-14 10:03:00+05:30,23657.15,23662.6,23652.95,23657.5,0
2024-11-14 10:04:00+05:30,23658.85,23675.9,23651.4,23653.6,0
2024-11-14 10:05:00+05:30,23655.4,23663.6,23655.4,23661.2,0
2024-11-14 10:06:00+05:30,23661.25,23662.95,23649.1,23655.9,0
2024-11-14 10:07:00+05:30,23655.9,23659.7,23640.9,23647.05,0
